"","FROM","TO","default_sign_conn_score"
"390","ESR1","PTPRC",-7027.503609
"391","ESR1","KRT18",-14782.712
"392","ESR1","DDX5",-6950.25408
"393","ESR1","INCENP",-32186.777
"394","ESR1","CCL5",-6236.8263
"395","ESR1","CACNA1H",-4612.93056
"396","ESR1","PLAU",4256.2248968468
"397","ESR1","HSPA1A",3520.748
"398","ESR1","CTSD",-25339.288663
"399","ESR1","IFITM3",4655.369521152
"400","ESR1","KRT8",-10743.25
"401","ESR1","EEF1A1",9260.464485
"402","ESR1","LGALS3",-25721.0577792
"403","ESR1","GNAL",-11763.1761408
"404","ESR1","GNAO1",16223.2906752
"405","ESR1","WNT2B",1748.37882744
"406","ESR1","PTGER3",13538.21184
"407","ESR1","EDNRA",-3615.09660304201
"408","ESR1","HTR2B",13520.630997632
"409","ESR1","WT1",13707.4208788
"410","ESR1","PAX2",25401.6
"411","EGLN2","PRKCD",-2542.27724724
"412","EGLN2","GNAS",-3515.9679422
"413","EGLN2","PTPRJ",3618.862498315
"414","EGLN2","PPARGC1A",27871.6554003
"415","EGLN2","SRF",4875.7032845608
"416","EGLN2","ABL1",2557.020492
"417","EGLN2","CALD1",-4136.0763650396
"418","EGLN2","MYC",4000
"419","EGLN2","MYLK",2428.6372866
"420","EGLN2","EZR",7231.0296492975
"421","EGLN2","H3.3A",-8629.14
"422","EGLN2","PIK3R1",-22927.3475391
"423","EGLN2","CDH1",-11447.3145537
"424","EGLN2","ESR1",8430.9136629
"425","EGLN2","JUN",29774.7568034
"426","EGLN2","CAV1",4011.8956987558
"427","EGLN2","AR",-10952.7104
"428","EGLN2","HBB",-19109.4603
"429","EGLN2","EGFR",6557.8632395
"430","EGLN2","PIM1",-1447.48026792
"431","EGLN2","STAT1",-13058.1191208
"432","EGLN2","PRKDC",-1849.845534684
"433","EGLN2","NR4A1",-10971.6444499078
"434","EGLN2","CDKN1A",-3303.465
"435","EGLN2","EPAS1",1361.7624769324
"436","EGLN2","VEGFA",-65101.5
"437","EGLN2","NFIB",288.968064
"438","EGLN2","SOCS3",-10309.2198672
"439","EGLN2","ADGRG1",-343.35900144
"440","EGLN2","CDH17",-5152.984234947
"441","EGLN2","COL1A1",-1856.2545456
"442","EGLN2","SLC12A2",-2157.3867
"443","EGLN2","NCL",874.0472832
"444","EGLN2","BHLHE40",-6561.280256604
"445","EGLN2","BHLHE41",-1358.3148399888
"446","EGLN2","NOS2",2072.298087
"447","EGLN2","TAP1",-3604.0408773408
"448","EGLN2","INSR",5213.7159032
"449","EGLN2","IRS2",-361.2063755936
"450","EGLN2","HSP90AB1",2563.4674387704
"451","EGLN2","HBA1",-17396.5675
"452","EGLN2","APOE",395.44354332
"453","EGLN2","COL1A2",-1971.669336
"454","EGLN2","MECOM",6112.3095
"455","EGLN2","CD68",3004.610382
"456","EGLN2","VIM",-7133.3785548
"457","EGLN2","CLU",4027.15623717
"458","EGLN2","DYRK2",-489.6
"459","EGLN2","BDKRB2",1070.75848044
"460","EGLN2","TIMP3",-570.162820592
"461","EGLN2","TBX2",-1398.37749450622
"462","EGLN2","HK2",1512
"463","EGLN2","ITGB4",10748.0054775961
"464","EGLN2","SCNN1G",-1704.4559029432
"465","EGLN2","CDR2",3434.6872873143
"466","EGLN2","HLA.A",-1088
"467","EGLN2","TYMS",1376
"468","EGLN2","S1PR1",12449.8949593648
"469","EGLN2","H2BC21",-1654.78917152
"470","EGLN2","SFRP1",-1452
"471","EGLN2","DNM1",601.673446035
"472","EGLN2","NPM1",-28152.92387
"473","EGLN2","PKN1",7964.6394704
"474","EGLN2","HMGA1",-13017.9619414
"475","EGLN2","DUSP1",5155.5835875
"476","EGLN2","RCAN1",-6701.5078506
"477","EGLN2","ERRFI1",-3824.7707498193
"478","EGLN2","NME1",5200.2136348
"479","EGLN2","DLK1",1721.1986132816
"480","EGLN2","MMP13",4980.6978
"481","EGLN2","ADM",1607.5411496586
"482","EGLN2","H1.2",-420.29155938224
"483","EGLN2","CD300LF",680.9536120527
"484","EGLN2","FGA",-996.13956
"485","EGLN2","GDF15",5902.3775494938
"486","EGLN2","LDLR",-12467.0998139045
"487","EGLN2","NSF",1026.86806271772
"488","EGLN2","LRIG3",-5210.12509470642
"489","EGLN2","SLC1A3",2116.068149
"490","EGLN2","FKBP5",509.538197942005
"491","EGLN2","IRF1",-507.779870382985
"492","EGLN2","KRT17",-5721.1157352
"493","EGLN2","SCNN1A",5837.86
"494","EGLN2","BEST1",-656.7401697192
"495","EGLN2","PRDX3",-1161.40425275293
"496","EGLN2","HLTF",-35.0856
"497","EGLN2","CD79A",1288.79157011004
"498","EGLN2","FOS",-1146.072971343
"499","EGLN2","RAB10",-922.533874527154
"500","EGLN2","MAPK13",-24000.3900577104
"501","EGLN2","TXNIP",-3074.2760475
"502","EGLN2","MUC4",-5257.6112350416
"503","EGLN2","DSP",2209.74120834817
"504","EGLN2","TP63",-5052.84252
"505","EGLN2","PERP",8477.6595246
"506","EGLN2","KRT15",49.664869101344
"507","EGLN2","RAC1",2005.004311
"508","EGLN2","ITGB1",-7813.2182970956
"509","EGLN2","HSF4",-1346.42370998412
"510","EGLN2","KAT2A",860.248
"511","EGLN2","HDAC7",-9560.0693811
"512","EGLN2","ERBB3",3239.2588467
"513","EGLN2","LRIG1",11761.0047284569
"514","EGLN2","CRYAB",6541.0695693
"515","EGLN2","FASN",-1195.1384269077
"516","EGLN2","CNR1",-2930.17102848
"517","EGLN2","ACTG2",20.3776535087999
"518","EGLN2","NKX3.1",-4201.2563712
"519","EGLN2","CTNNB1",11439.3162813
"520","EGLN2","FN1",531.93852504
"521","EGLN2","BSG",1515.6444
"522","EGLN2","LORICRIN",875.8809
"523","EGLN2","JUNB",1399.58196
"524","EGLN2","MUC2",-4043.56248948
"525","EGLN2","ESPL1",-11367.0097296
"526","EGLN2","RUNX1",10219.2295131
"527","EGLN2","PTPRC",3161.3625886236
"528","EGLN2","KRT18",6650.0873248
"529","EGLN2","DDX5",14046.7195633848
"530","EGLN2","INCENP",14479.4052508
"531","EGLN2","CCL5",5986.443750948
"532","EGLN2","CACNA1H",1167.572
"533","EGLN2","PLAU",2060.0873735394
"534","EGLN2","HSPA1A",-7031.2949112
"535","EGLN2","CTSD",5024.2998141
"536","EGLN2","IFITM3",902.749931407008
"537","EGLN2","KRT8",4832.9123
"538","EGLN2","EEF1A1",-326.4436
"539","EGLN2","LGALS3",-2407.2809712
"540","EGLN2","GNAL",-4922.684928
"541","EGLN2","GNAO1",-5910.75072
"542","EGLN2","WNT2B",37.651267584
"543","EGLN2","PTGER3",2930.17102848
"544","EGLN2","EDNRA",8686.7935580418
"545","EGLN2","HTR2B",-776.38082976
"546","EGLN2","WT1",2015.3980224
"547","EGLN2","PAX2",-1243.5005798208
"548","CTLA4","PRKCD",-2352
"549","CTLA4","GNAS",7596.96
"550","CTLA4","PTPRJ",658.23072
"551","CTLA4","PPARGC1A",11760
"552","CTLA4","SRF",-3045.84
"553","CTLA4","ABL1",-21485.52
"554","CTLA4","CALD1",-3159.77088
"555","CTLA4","MYC",-47758.0656
"556","CTLA4","MYLK",-15107.15472
"557","CTLA4","EZR",-11760
"558","CTLA4","H3.3A",11760
"559","CTLA4","PIK3R1",-7208.88
"560","CTLA4","CDH1",14723.52
"561","CTLA4","ESR1",-11760
"562","CTLA4","JUN",-20815.2
"563","CTLA4","CAV1",4562.88
"564","CTLA4","AR",11760
"565","CTLA4","HBB",2352
"566","CTLA4","EGFR",-19721.52
"567","CTLA4","PIM1",-3163.44
"568","CTLA4","STAT1",8337.84
"569","CTLA4","PRKDC",-8961.51984
"570","CTLA4","NR4A1",11760
"571","CTLA4","CDKN1A",11760
"572","CTLA4","EPAS1",856.02216
"573","CTLA4","VEGFA",-45540.5033328
"574","CTLA4","NFIB",-1264.23528
"575","CTLA4","SOCS3",-13658.9594064
"576","CTLA4","ADGRG1",416.278541952
"577","CTLA4","CDH17",3123.456
"578","CTLA4","COL1A1",3257.52
"579","CTLA4","SLC12A2",-5938.8
"580","CTLA4","NCL",423.78336
"581","CTLA4","BHLHE40",-9365.4243312
"582","CTLA4","BHLHE41",3544.88736
"583","CTLA4","NOS2",-3822
"584","CTLA4","TAP1",2301.24384
"585","CTLA4","INSR",-2058
"586","CTLA4","IRS2",-6463.5312
"587","CTLA4","HSP90AB1",1126.4904
"588","CTLA4","HBA1",2352
"589","CTLA4","APOE",-6861.09814488
"590","CTLA4","COL1A2",-6419.3136
"591","CTLA4","MECOM",-3528
"592","CTLA4","CD68",606.9924
"593","CTLA4","VIM",-11760
"594","CTLA4","CLU",-2324.45808
"595","CTLA4","DYRK2",6491.52
"596","CTLA4","BDKRB2",1608.39168
"597","CTLA4","TIMP3",959.552496
"598","CTLA4","TBX2",-1324.25832
"599","CTLA4","HK2",-11760
"600","CTLA4","ITGB4",2352
"601","CTLA4","SCNN1G",-3131.60568
"602","CTLA4","CDR2",-3654.377664
"603","CTLA4","HLA.A",16904.3099232
"604","CTLA4","TYMS",2928.24
"605","CTLA4","S1PR1",-11760
"606","CTLA4","H2BC21",1955.321088
"607","CTLA4","SFRP1",17336.1778128
"608","CTLA4","DNM1",2095.94952
"609","CTLA4","NPM1",6797.28
"610","CTLA4","PKN1",263.812079999999
"611","CTLA4","HMGA1",3139.92
"612","CTLA4","DUSP1",12300.96
"613","CTLA4","RCAN1",5844.72
"614","CTLA4","ERRFI1",-3904.32
"615","CTLA4","NME1",-9375.80112
"616","CTLA4","DLK1",3974.88
"617","CTLA4","MMP13",2352
"618","CTLA4","ADM",-2435.9664
"619","CTLA4","H1.2",1338.288
"620","CTLA4","CD300LF",-1790.46
"621","CTLA4","FGA",-470.4
"622","CTLA4","GDF15",-3304.56
"623","CTLA4","LDLR",9597.7230216
"624","CTLA4","NSF",1825.2696
"625","CTLA4","LRIG3",-1883.32015872
"626","CTLA4","SLC1A3",-13753.26267
"627","CTLA4","FKBP5",-729.68355096
"628","CTLA4","IRF1",1830.5514864
"629","CTLA4","KRT17",-1151.6568
"630","CTLA4","SCNN1A",-2820.048
"631","CTLA4","BEST1",-3117.64656
"632","CTLA4","PRDX3",-2064.4092
"633","CTLA4","HLTF",-92.8364976
"634","CTLA4","CD79A",-2961.9324
"635","CTLA4","FOS",-19333.44
"636","CTLA4","RAB10",-1639.8144
"637","CTLA4","MAPK13",5127.36
"638","CTLA4","TXNIP",-2197.062
"639","CTLA4","MUC4",-4704
"640","CTLA4","DSP",3927.84
"641","CTLA4","TP63",-752.64
"642","CTLA4","PERP",26957.58912
"643","CTLA4","KRT15",598.72512
"644","CTLA4","RAC1",11760
"645","CTLA4","ITGB1",-3469.2
"646","CTLA4","HSF4",1401.792
"647","CTLA4","KAT2A",-6924.65256
"648","CTLA4","HDAC7",-3245.76
"649","CTLA4","ERBB3",-15482.28696
"650","CTLA4","LRIG1",4251.28704
"651","CTLA4","CRYAB",20536.39392
"652","CTLA4","FASN",-5229.4956
